Group	Day	Day_of_diet	Experiment	Sampletype	SampleID	Sequencing plate	Mouse	Amuc	Bc	Mfor	Bar	Bo	Bt	Bu	Col	Csum	Des	Ecol	Eur	Fpra	Ros
FR	54	FF	1	fecal	02DEC_12_pl1	1	12	30.3	11.4	2.7	1.7	6.9	9.6	14.2	1.7	3.7	3.5	5.1	3.2	1.9	4.0
FR	54	FF	1	cecal	Cecal12_pl1	1	12	27.4	13.8	1.3	1.4	5.5	13.4	16.9	1.1	3.7	5.8	2.4	1.9	1.2	4.3
FR	54	FF	1	fecal	02DEC_13_pl1	1	13	38.7	9.2	3.9	2.5	5.2	8.2	10.7	1.0	2.2	4.2	9.1	2.1	1.7	1.3
FR	54	FF	1	cecal	Cecal13_pl2	2	13	28.3	12.9	3.3	2.2	4.4	10.5	15.4	2.8	3.4	5.7	3.8	2.3	2.0	3.2
FR	54	FF	1	fecal	02DEC_14_pl1	1	14	25.2	13.5	3.5	2.3	5.9	12.3	11.4	0.9	4.3	4.1	11.0	3.5	1.9	0.2
FR	54	FF	1	cecal	Cecal14_pl2	2	14	31.6	14.2	3.1	1.7	5.4	12.3	12.1	1.9	3.9	4.6	3.0	3.6	2.2	0.4
FP	54	FF	1	fecal	02DEC_18_pl1	1	18	37.9	10.8	2.7	2.3	3.8	7.7	15.2	1.3	2.5	3.8	9.1	0.6	0.0	2.3
FP	54	FF	1	cecal	Cecal18_pl2	2	18	30.8	13.9	2.0	1.9	4.4	10.6	17.3	1.7	3.2	5.9	4.1	0.7	0.0	3.5
FP	54	FF	1	fecal	02DEC_19_pl1	1	19	35.7	13.7	3.6	1.9	3.4	8.8	14.1	1.3	3.6	3.5	7.7	2.8	0.0	0.0
FP	54	FF	1	cecal	Cecal19_pl2	2	19	28.4	17.5	2.0	1.6	3.2	12.9	14.8	2.4	4.2	6.3	5.4	1.3	0.0	0.0
FP	54	FF	1	fecal	02DEC_20_pl1	1	20	32.0	13.2	2.8	2.1	4.8	8.8	15.7	1.6	2.9	4.5	7.2	0.8	0.0	3.5
FP	54	FF	1	cecal	Cecal20_pl2	2	20	23.4	15.8	2.2	2.1	4.0	13.1	17.9	2.2	4.0	6.5	3.9	0.6	0.0	4.3
FR	54	FF	1	fecal	02DEC_15_pl1	1	15	30.8	19.2	2.2	1.6	1.2	3.5	11.0	3.4	4.4	5.2	16.5	0.2	0.0	0.8
FR	54	FF	1	cecal	Cecal15_pl2	2	15	37.1	20.4	1.0	1.8	1.4	5.5	16.6	2.0	4.2	5.5	3.6	0.1	0.0	0.7
