marker	diet	length	eff.len	count	TPM
acet1_1	F1	12271	12220	4407.79	130.763
acet1_1	F2	12271	12220	3687.68	85.905
acet1_1	F3	12271	12220	2680.51	153.249
acet1_1	FP1	12271	12220	29074	238.338
acet1_1	FP2	12271	12220	27108.4	340.333
acet1_1	FP3	12271	12220	19933.2	263.215
acet1_1	FR1	12271	12220	17767.7	188.973
acet1_1	FR2	12271	12220	36472	486.119
acet1_1	FR3	12271	12220	34671.6	435.243
acet1_1	P1	12271	12220	2015.29	54.8598
acet1_1	P2	12271	12220	5265.05	160.419
acet1_1	P3	12271	12220	14522.3	302.262
acet1_1	R1	12271	12220	15121	303.353
acet1_1	R2	12271	12220	7424.51	159.81
acet1_1	R3	12271	12220	18780.8	388.449
