marker	diet	length	eff.len	count	TPM
but1_1	F1	6282	6231	5689	330.99
but1_1	F2	6282	6231	6282	286.996
but1_1	F3	6282	6231	3736	418.892
but1_1	FP1	6282	6231	5040.18	81.0302
but1_1	FP2	6282	6231	6707.34	165.144
but1_1	FP3	6282	6231	7094	183.712
but1_1	FR1	6282	6231	11586	241.666
but1_1	FR2	6282	6231	10496.9	274.382
but1_1	FR3	6282	6231	4630.3	113.994
but1_1	P1	6282	6231	3963	211.571
but1_1	P2	6282	6231	6439	384.755
but1_1	P3	6282	6231	2284	93.2306
but1_1	R1	6282	6231	853.109	33.5649
but1_1	R2	6282	6231	666.268	28.1253
but1_1	R3	6282	6231	766	31.0715
but1_2	F1	5322	5271	639	43.9485
but1_2	F2	5322	5271	975	52.656
but1_2	F3	5322	5271	2	0.265088
but1_2	FP1	5322	5271	1	0.0190049
but1_2	FP2	5322	5271	0	0
but1_2	FP3	5322	5271	0	0
but1_2	FR1	5322	5271	304	7.49584
but1_2	FR2	5322	5271	1458	45.0524
but1_2	FR3	5322	5271	1550	45.1094
but1_2	P1	5322	5271	643	40.5795
but1_2	P2	5322	5271	0	0
but1_2	P3	5322	5271	0	0
but1_2	R1	5322	5271	268	12.4647
but1_2	R2	5322	5271	689	34.3821
but1_2	R3	5322	5271	0	0
but1_3	F1	3239	3188	271	30.8168
but1_3	F2	3239	3188	323	28.8417
but1_3	F3	3239	3188	661	144.856
but1_3	FP1	3239	3188	341	10.7151
but1_3	FP2	3239	3188	415	19.971
but1_3	FP3	3239	3188	598	30.2683
but1_3	FR1	3239	3188	1033	42.1136
but1_3	FR2	3239	3188	1089	55.6369
but1_3	FR3	3239	3188	142	6.8328
but1_3	P1	3239	3188	416	43.4074
but1_3	P2	3239	3188	689	80.4682
but1_3	P3	3239	3188	257	20.5038
but1_3	R1	3239	3188	53	4.07565
but1_3	R2	3239	3188	57	4.70287
but1_3	R3	3239	3188	111	8.80027
but1_4	F1	737	686	0	0
but1_4	F2	737	686	0	0
but1_4	F3	737	686	0	0
but1_4	FP1	737	686	87	12.7044
but1_4	FP2	737	686	60	13.4183
but1_4	FP3	737	686	218.585	51.4163
but1_4	FR1	737	686	76.5027	14.4941
but1_4	FR2	737	686	156	37.0386
but1_4	FR3	737	686	136.051	30.4232
but1_4	P1	737	686	27	13.0927
but1_4	P2	737	686	58	31.4795
but1_4	P3	737	686	35	12.9767
but1_4	R1	737	686	718.511	256.772
but1_4	R2	737	686	263.701	101.11
but1_4	R3	737	686	202	74.425
but1_5	F1	2888	2837	1149	146.824
but1_5	F2	2888	2837	1453	145.795
but1_5	F3	2888	2837	1	0.24626
but1_5	FP1	2888	2837	5676.56	200.44
but1_5	FP2	2888	2837	6195.89	335.054
but1_5	FP3	2888	2837	4.27209	0.242989
but1_5	FR1	2888	2837	4391.39	201.179
but1_5	FR2	2888	2837	691.785	39.716
but1_5	FR3	2888	2837	4935.35	266.862
but1_5	P1	2888	2837	1912.08	224.201
but1_5	P2	2888	2837	1.07207	0.140698
but1_5	P3	2888	2837	2.085	0.186925
but1_5	R1	2888	2837	3521.26	304.283
but1_5	R2	2888	2837	2118.02	196.37
but1_5	R3	2888	2837	1083.21	96.5037
but1_6	F1	5666	5615	558	36.0264
but1_6	F2	5666	5615	487	24.6897
but1_6	F3	5666	5615	486	60.47
but1_6	FP1	5666	5615	1031	18.3937
but1_6	FP2	5666	5615	893	24.399
but1_6	FP3	5666	5615	679	19.513
but1_6	FR1	5666	5615	790	18.2859
but1_6	FR2	5666	5615	1401	40.6389
but1_6	FR3	5666	5615	818	22.3477
but1_6	P1	5666	5615	432	25.5931
but1_6	P2	5666	5615	431	28.5793
but1_6	P3	5666	5615	370	16.7599
but1_6	R1	5666	5615	113	4.93364
but1_6	R2	5666	5615	194	9.08779
but1_6	R3	5666	5615	291	13.0989
