marker	diet	length	eff.len	count	TPM
muc2_1	F1	55726	55675	10574.2	68.8533
muc2_1	F2	55726	55675	9315.64	47.6309
muc2_1	F3	55726	55675	4205	52.7666
muc2_1	FP1	55726	55675	24049	43.2709
muc2_1	FP2	55726	55675	13885	38.261
muc2_1	FP3	55726	55675	12064	34.9652
muc2_1	FR1	55726	55675	18005.4	42.0323
muc2_1	FR2	55726	55675	12720.2	37.2124
muc2_1	FR3	55726	55675	15890	43.7817
muc2_1	P1	55726	55675	10993.2	65.6829
muc2_1	P2	55726	55675	8887	59.4317
muc2_1	P3	55726	55675	9968	45.5374
muc2_1	R1	55726	55675	1849	8.14171
muc2_1	R2	55726	55675	2394	11.3102
muc2_1	R3	55726	55675	8156	37.0261
muc2_10	F1	26000	25949	13473.1	188.228
muc2_10	F2	26000	25949	10416.1	114.267
muc2_10	F3	26000	25949	3402.39	91.6046
muc2_10	FP1	26000	25949	11280.4	43.5473
muc2_10	FP2	26000	25949	7958.7	47.0535
muc2_10	FP3	26000	25949	7437.54	46.2502
muc2_10	FR1	26000	25949	6426.92	32.1901
muc2_10	FR2	26000	25949	15825.3	99.3309
muc2_10	FR3	26000	25949	11211.4	66.2779
muc2_10	P1	26000	25949	7070.88	90.6446
muc2_10	P2	26000	25949	4168.96	59.8178
muc2_10	P3	26000	25949	4524.59	44.3485
muc2_10	R1	26000	25949	2540.28	23.9994
muc2_10	R2	26000	25949	2675.65	27.1216
muc2_10	R3	26000	25949	1051	10.237
muc2_11	F1	37204	37153	1483.57	14.4761
muc2_11	F2	37204	37153	2067.96	15.8447
muc2_11	F3	37204	37153	673.047	12.6562
muc2_11	FP1	37204	37153	5147.66	13.8795
muc2_11	FP2	37204	37153	3742.59	15.4543
muc2_11	FP3	37204	37153	3064.82	13.3112
muc2_11	FR1	37204	37153	5055.42	17.6849
muc2_11	FR2	37204	37153	4946.49	21.6849
muc2_11	FR3	37204	37153	5346.99	22.0772
muc2_11	P1	37204	37153	2752.7	24.6464
muc2_11	P2	37204	37153	1612.21	16.1566
muc2_11	P3	37204	37153	2073.91	14.1976
muc2_11	R1	37204	37153	1354.68	8.93887
muc2_11	R2	37204	37153	1881.09	13.3175
muc2_11	R3	37204	37153	1157.92	7.87731
muc2_12	F1	37204	37153	13264.9	129.433
muc2_12	F2	37204	37153	13684.3	104.849
muc2_12	F3	37204	37153	3080.48	57.9266
muc2_12	FP1	37204	37153	19149.8	51.6333
muc2_12	FP2	37204	37153	14336.3	59.1988
muc2_12	FP3	37204	37153	15279.9	66.3638
muc2_12	FR1	37204	37153	12661.9	44.2939
muc2_12	FR2	37204	37153	15526	68.0643
muc2_12	FR3	37204	37153	15359	63.416
muc2_12	P1	37204	37153	8342.79	74.6975
muc2_12	P2	37204	37153	7303.48	73.1913
muc2_12	P3	37204	37153	9893.87	67.7317
muc2_12	R1	37204	37153	1831.16	12.0829
muc2_12	R2	37204	37153	1251.59	8.86084
muc2_12	R3	37204	37153	949.498	6.45939
muc2_13	F1	10033	9982	1071	38.8963
muc2_13	F2	10033	9982	821	23.4133
muc2_13	F3	10033	9982	154	10.7785
muc2_13	FP1	10033	9982	2393	24.0151
muc2_13	FP2	10033	9982	2281	35.0573
muc2_13	FP3	10033	9982	1814	29.3241
muc2_13	FR1	10033	9982	3016	39.2694
muc2_13	FR2	10033	9982	1477	24.1
muc2_13	FR3	10033	9982	1609	24.7268
muc2_13	P1	10033	9982	1048	34.9247
muc2_13	P2	10033	9982	940	35.0618
muc2_13	P3	10033	9982	1244	31.6973
muc2_13	R1	10033	9982	137	3.36467
muc2_13	R2	10033	9982	182	4.79579
muc2_13	R3	10033	9982	383	9.69779
muc2_14	F1	4899	4848	474	35.4448
muc2_14	F2	4899	4848	611	35.8769
