marker	diet	length	eff.len	count	TPM
sulfat1_1	F1	3215	3164	6621	758.619
sulfat1_1	F2	3215	3164	7087	637.62
sulfat1_1	F3	3215	3164	1553	342.916
sulfat1_1	FP1	3215	3164	9014	285.391
sulfat1_1	FP2	3215	3164	9292	450.55
sulfat1_1	FP3	3215	3164	6578	335.477
sulfat1_1	FR1	3215	3164	8935	367.027
sulfat1_1	FR2	3215	3164	7886	405.951
sulfat1_1	FR3	3215	3164	11339	549.752
sulfat1_1	P1	3215	3164	6782	713.034
sulfat1_1	P2	3215	3164	2470	290.659
sulfat1_1	P3	3215	3164	3640	292.607
sulfat1_1	R1	3215	3164	507	39.2835
sulfat1_1	R2	3215	3164	958	79.6408
sulfat1_1	R3	3215	3164	1343	107.283
